lemma,ipm,deceptiveness,metaphone_code,metaphone_neighbours,parsing,levenstein_neighbours,possible_cognate,pseudocognate
аббревиатура,1.71,0.06,абривиатура,[],аббреви:ROOT/ат:SUFF/ур:SUFF/а:END,[],"['аббревиация', 'аббревиатура']",[]
абитуриент,2.11679971799379,0.3,абитуринт,[],абитури:ROOT/ент:SUFF,[],"['абитуриент', 'абитуриентский']",[]
агар,0.38854620374335297,0.12,агар,[],агар:ROOT,"['агат', 'ангар', 'нагар', 'авар', 'угар', 'загар']","['агарянка', 'агаровый', 'агарный', 'агар-агар', 'агарянин']","['нагарный', 'огарышек', 'гаркать', 'агглютинировать', 'выгарки', 'загар', 'пригар', 'агглютинироваться', 'гаркнуть', 'агглютинирующий', 'агглютинабельный', 'выгар', 'огарочный', 'угар', 'агглютинин', 'нагар', 'ар', 'аггравация', 'агглютинативный', 'разгар', 'агглютинация', 'огарыш', 'угароочищающий', 'огарочек', 'полугар', 'агглютинирование', 'гаревый', 'гаревой', 'полугарный', 'дымогарный', 'перегар', 'пригарина', 'угарный', 'огарок', 'безугарный']"
адресант,0.074600871118724,0.32,адрисант,[],адрес:ROOT/ант:SUFF,"['арестант', 'десант', 'адресат']","['адресный', 'адресат', 'адресовать', 'переадресовывать', 'адресно-справочный', 'переадресованный', 'адресоваться', 'адрес-календарь', 'двухадресный', 'переадресовываться', 'адресование', 'переадресовка', 'адресация', 'адрес', 'адресант', 'переадресовать', 'адресованный', 'хеш-адресация']",[]
актировать,0.161635220757235,0.26,актиравать,[],акт:ROOT/ир:SUFF/ова:SUFF/ть:SUFF,"['матировать', 'азотировать', 'макетировать', 'датировать', 'каптировать', 'заактировать', 'актироваться', 'йотировать', 'сактировать', 'лакировать', 'пакетировать', 'армировать', 'цитировать', 'анкетировать', 'вотировать', 'котировать', 'тировать', 'юстировать', 'активировать', 'оптировать', 'шатировать', 'аэрировать', 'агитировать', 'таксировать', 'алитировать']","['актирование', 'одноактный', 'актированный', 'заактированный', 'пятиактный', 'акт', 'актироваться', 'актировать', 'сактированный', 'четырехактный', 'трехактный', 'заактировать', 'сактировать', 'актовый', 'многоактный', 'двухактный']",[]
алебарда,0.88,0.2,алибарда,[],алебард:ROOT/а:END,[],"['алебарда', 'алебардовый', 'алебардный']",[]
аллюр,0.87,0.13,алур,[],аллюр:ROOT,[],['аллюр'],[]
альманах,5.4738389183363605,0.1,алманах,[],альманах:ROOT,[],"['киноальманах', 'альманах', 'альманашный']",[]
антиутопия,0.4880140319016511,0.09,антиутапиа,[],анти:PREF/утопи:ROOT/я:END,[],"['утопизм', 'утопический', 'утопист', 'утопичный', 'утопия', 'утопистка', 'антиутопия']","['утопизм', 'утопический', 'утопистка', 'утопист', 'протопиться', 'утопичный']"
апеллировать,2.58,0.37,апилиравать,[],апелл:ROOT/ир:SUFF/ова:SUFF/ть:SUFF,['капелировать'],"['апелляционный', 'апеллирование', 'апеллировать', 'апелла', 'апеллянт', 'апелляция', 'апеллент']",[]
арак,0.630999034879205,0.18,арак,['арык'],арак:ROOT,"['фрак', 'арык', 'арап', 'трак', 'арат', 'барак', 'араб', 'мрак', 'абак']","['аратский', 'арат', 'арак']","['ракоскорпион', 'раколов', 'ракоустойчивый', 'рак-отшельник', 'противораковый', 'предраковый', 'ракообразный', 'ар']"
аффект,2.9,0.28,афикт,[],аффект:ROOT,"['аспект', 'аффикс', 'эффект', 'дефект']","['аффектировать', 'аффектация', 'аффект', 'аффектированный', 'аффективный']",[]
бакалея,0.41,0.28,бакалиа,[],бакале:ROOT/я:END,"['батарея', 'баталер', 'баталия']",['бакалея'],"['забаюкать', 'бензобак', 'бак', 'маслобак', 'баиньки', 'полубак', 'побаиваться', 'барельеф', 'баять', 'баковый', 'баки']"
бандура,0.63,0.1,бандура,[],бандур:ROOT/а:END,"['банда', 'хандра', 'байдара', 'баядера']","['бандурист', 'бандура', 'бандуристка']","['банда', 'бандитизм', 'бандгруппа', 'бандит', 'бандитский', 'джаз-банд', 'белобандит']"
баргузин,0.27353652743532003,0.17,баргузин,[],баргузин:ROOT,[],['баргузин'],[]
бейдж,0.07,0.03,бийтш,[],бейдж:ROOT,[],[],[]
бортник,0.3854378341134061,0.18,бартник,[],борт:ROOT/ник:SUFF,"['бортный', 'воротник', 'бортик', 'потник', 'буртик', 'борение', 'битник', 'соратник', 'портик', 'боровик', 'сотник', 'борзятник', 'болотник', 'кортик', 'сборник', 'ботаник', 'болтик', 'постник']","['бортовщик', 'борщок', 'бортничанье', 'бортинженер', 'отбортовка', 'бортничать', 'низкобортный', 'борт', 'бортврач', 'набортный', 'борщовник', 'бортевой', 'забортный', 'подбортный', 'бортжурнал', 'бортпроводник', 'борщевик', 'однобортный', 'борщовый', 'отбортовать', 'бортный', 'переборщить', 'высокобортный', 'двубортный', 'бортовка', 'широкобортный', 'бортничество', 'бортик', 'узкобортный', 'бортовой', 'бортмеханик', 'полуборт', 'отбортовываться', 'бортник', 'бортпроводница', 'отбортовывать', 'борщ', 'бортрадист']",[]
брат,316.99,0.05,брат,['брод'],брат:ROOT,"['борат', 'брют', 'арат', 'обрат', 'блат', 'брать']","['братишка', 'новобрачная', 'отбраковать', 'брачащиеся', 'брат', 'бракодел', 'братоубийство', 'братва', 'перебраковываться', 'разбракованный', 'послебрачный', 'выбраковка', 'братчина', 'перебраковать', 'бракераж', 'брачный', 'братоненавистнический', 'браковка', 'брательник', 'побрататься', 'второбрачие', 'братство', 'браковать', 'забраковать', 'выбраковать', 'братик', 'троебрачный', 'братоненавистник', 'побратим', 'однобрачие', 'однобрачный', 'братолюбие', 'братина', 'отбраковывать', 'многобрачный', 'город-побратим', 'внебрачный', 'разбраковка', 'бракодельский', 'двоебрачие', 'отбраковываться', 'тайнобрачный', 'побратимство', 'троебрачие', 'братание', 'единобрачие', 'выбраковываться', 'братия', 'забраковывать', 'отбракованный', 'явнобрачный', 'бракосочетание', 'братнин', 'братский', 'бракоразводный', 'перебраковывать', 'бракодельство', 'второбрачный', 'браковочный', 'братоубийственный', 'новобрачный', 'безбрачный', 'по-братски', 'забраковываться', 'братан', 'брататься', 'собрат', 'братушка', 'тайнобрачие', 'браковщица', 'братоубийца', 'забракованный', 'бракер', 'многобрачие', 'братолюбивый', 'отбраковка', 'выбраковывать', 'братец', 'браток', 'безбрачие', 'братний', 'браковщик', 'бракованный', 'добрачный', 'перебракованный', 'братчик', 'разбраковать']","['обобранный', 'избранница', 'побранный', 'забритый', 'обритый', 'понабранный', 'подбриться', 'перебранный', 'переизбрать', 'забрить', 'переизбрание', 'присобрать', 'понабрать', 'подобранный', 'бритва', 'партсобрание', 'приубранный', 'побрать', 'побриться', 'убрать', 'набраться', 'добрить', 'неубранный', 'прибранный', 'отобранный', 'собранность', 'прибраться', 'прибрать', 'перевыбрать', 'избранный', 'убранный', 'браться', 'забриваться', 'сбривать', 'забривать', 'отбривать', 'забранный', 'убранство', 'обриться', 'отобрание', 'забраться', 'избрание', 'побрить', 'сбрить', 'вобрать', 'взобраться', 'бритый', 'перебраться', 'перевыбранный', 'бритоголовый', 'бритвенница', 'бритвенный', 'бриться', 'подбритый', 'убраться', 'подбриваться', 'вобраться', 'собрать', 'новобранец', 'избрать', 'полусобранный', 'присобранный', 'добриться', 'обриваться', 'новоизбранный', 'отобрать', 'разобраться', 'подобрать', 'приубрать', 'добраться', 'собраньице', 'переизбранный', 'брать', 'обрить', 'набранный', 'добривать', 'недобранный', 'выбранный', 'профсобрание', 'вобранный', 'обобраться', 'отбриться', 'подбривать', 'скатерть-самобранка', 'новонабранный', 'добриваться', 'выбрать', 'перебрать', 'понабраться', 'подобраться', 'добрать', 'избранник', 'обривать', 'небритый', 'отбрить', 'собранный', 'сбриваться', 'свежевыбритый', 'отбритый', 'собрание', 'разобрать', 'обобрать', 'выбраться', 'самобранка', 'собраться', 'добранный', 'брить', 'приубраться', 'неприбранный', 'недобрать', 'набрать', 'разобранный', 'сбритый']"
бричка,5.08,0.01,бричка,[],бричк:ROOT/а:END,"['драчка', 'кичка', 'бритва', 'арийка', 'речка', 'уличка', 'бровка', 'кличка', 'фабричка', 'кринка', 'спичка', 'брючки', 'гичка', 'бочка', 'бражка', 'птичка', 'ризка', 'прачка', 'крачка', 'ириска', 'гаичка', 'гречка', 'ярочка', 'брошка', 'бирка']",['бричка'],"['обобранный', 'избранница', 'побранный', 'забритый', 'обритый', 'понабранный', 'подбриться', 'перебранный', 'переизбрать', 'забрить', 'выбрить', 'подобранный', 'переизбрание', 'присобрать', 'понабрать', 'бритва', 'партсобрание', 'приубранный', 'побрать', 'побриться', 'убрать', 'набраться', 'добрить', 'неубранный', 'прибранный', 'выбриваться', 'отобранный', 'собранность', 'прибраться', 'прибрать', 'перевыбрать', 'избранный', 'убранный', 'браться', 'забриваться', 'сбривать', 'забривать', 'отбривать', 'забранный', 'убранство', 'обриться', 'отобрание', 'забраться', 'избрание', 'побрить', 'сбрить', 'вобрать', 'взобраться', 'бритый', 'перебраться', 'перевыбранный', 'бритоголовый', 'бритвенница', 'бритвенный', 'бриться', 'подбритый', 'убраться', 'подбриваться', 'вобраться', 'собрать', 'новобранец', 'избрать', 'полусобранный', 'присобранный', 'добриться', 'обриваться', 'новоизбранный', 'отобрать', 'разобраться', 'подобрать', 'приубрать', 'добраться', 'собраньице', 'переизбранный', 'брать', 'обрить', 'набранный', 'добривать', 'недобранный', 'выбранный', 'профсобрание', 'вобранный', 'обобраться', 'отбриться', 'подбривать', 'скатерть-самобранка', 'новонабранный', 'добриваться', 'выбрать', 'перебрать', 'выбривать', 'понабраться', 'подобраться', 'добрать', 'избранник', 'обривать', 'небритый', 'отбрить', 'собранный', 'сбриваться', 'электробритва', 'свежевыбритый', 'отбритый', 'собрание', 'разобрать', 'обобрать', 'выбриться', 'выбраться', 'самобранка', 'собраться', 'добранный', 'брить', 'приубраться', 'неприбранный', 'недобрать', 'выбритый', 'набрать', 'разобранный', 'сбритый']"
булгур,0.015541848149734,0.23,булгур,[],булгур:ROOT,"['бугор', 'уйгур', 'балагур']",[],[]
бумага,172.68,0.02,бумага,[],бумаг:ROOT/а:END,"['курага', 'бумажка', 'булава', 'будара', 'брага']","['бумажно-бакелитовый', 'бумагорезальный', 'бумаготкацкий', 'крафт-бумага', 'бумагопрядильщик', 'бумагопрядильный', 'бумажно-денежный', 'бумажка', 'целлюлозно-бумажный', 'бумаготворчество', 'бумагомарака', 'бумагодержатель', 'бумаженция', 'фотобумага', 'бумажный', 'лесобумажный', 'хлопчатобумажный', 'бумажонка', 'бумагоделательный', 'бумагопрядильщица', 'бумагорезательный', 'писчебумажный', 'полубумажный', 'бумагопрядильня', 'бумажечка', 'бумагопрядение', 'бумагомаратель', 'мульчбумага', 'суконно-бумажный', 'бумагомарание']",['бум']
бурт,0.366787616333725,0.11,бурт,[],бурт:ROOT,"['буря', 'бут', 'бурят', 'бура', 'гурт', 'бур', 'бурш', 'буры', 'борт']","['бурканье', 'забуртованный', 'буртование', 'буркнуть', 'бурт', 'бурчание', 'буртик', 'бурчать', 'буркать', 'буртоукладчик', 'побурчать', 'забурчать']",[]
вантуз,0.07770924074867099,0.06,вантус,[],вантуз:ROOT,"['картуз', 'ванты']",[],"['оттузить', 'туз', 'тузить', 'потузить']"
ветер,175.22,0.01,витир,[],ветер:ROOT,"['вечер', 'вебер', 'веер', 'ватер']","['ветерок', 'ветерочек', 'ветер']","['ветсаннадзор', 'ветсанэкспертиза', 'ветфельдшер', 'веточка', 'ветка', 'зооветпункт', 'ветсанучасток', 'зооветучасток', 'ветнадзор', 'ветперсонал', 'ветслужба', 'ветпункт', 'ветлечебница', 'веточный', 'ветврач']"
вода,553.33,0.01,вада,[],вод:ROOT/а:END,"['водка', 'ода', 'мода', 'кода', 'водь', 'сода']","['легководолазный', 'впроводку', 'обводненный', 'водослой', 'водовод', 'обводнять', 'пионервожатая', 'водопой', 'письмоводство', 'водосбор', 'бахчеводство', 'водовыпуск', 'мараловодство', 'приводка', 'водовозный', 'метеосводка', 'газонефтепроводный', 'увод', 'соболеводство', 'сводня', 'каракулеводческий', 'шелководческий', 'переводчик', 'препровождаться', 'спиртоводный', 'подводный', 'нефтегазопровод', 'выводка', 'подвод', 'вывод', 'водичка', 'водопонижение', 'овощеводческий', 'водорослевый', 'электропривод', 'плодоовощеводство', 'овощеводство', 'рисоводческий', 'полководец', 'парниководство', 'путеводитель', 'поводочный', 'переводной', 'экскурсовод', 'свекловодческий', 'водосборный', 'гусеводческий', 'водосточный', 'воднолыжный', 'теплопроводный', 'сопроводительный', 'водоворот', 'препровождение', 'свиновод', 'подводник', 'скотовод', 'водораспылитель', 'водостойкий', 'хмелеводство', 'водорез', 'водность', 'счетоводный', 'стрельчатосводный', 'кроликовод', 'водный', 'водоприемник', 'наводящийся', 'мусоропровод', 'водопропускной', 'разводчатый', 'собака-поводырь', 'гелиоводоопреснитель', 'водовоз', 'цветовод', 'водопойный', 'колонновожатый', 'кролиководство', 'полупроводник', 'повоженный', 'разводить', 'звероводство', 'водоотстойник', 'водосток', 'обзаводиться', 'обезводиться', 'водоотлив', 'овощевод', 'овцеводческий', 'приводиться', 'подводно-технический', 'звероводческий', 'пятновыводитель', 'обезводеть', 'полевод', 'пароводяной', 'водораздельный', 'водоструйный', 'мараловод', 'свиноводческий', 'хороводный', 'полководческий', 'звукопроводимость', 'водостолбовой', 'нефтепровод', 'куроводство', 'выводной', 'водица', 'обвод', 'отводок', 'паропровод', 'отводиться', 'водоплавающий', 'доводиться', 'гид-переводчик', 'электропроводность', 'теплопроводность', 'индейководство', 'пресноводный', 'доводка', 'электропроводный', 'низводиться', 'водохлеб', 'сопроводить', 'подводиться', 'семеноводство', 'завоженный', 'водогрейный', 'водогрязеторфопарафинолечение', 'голубевод', 'цитрусоводство', 'водно-моторный', 'козоводческий', 'выводок', 'птицевод', 'судовождение', 'препроводительный', 'водоспускный', 'приводнение', 'наводниться', 'обводный', 'счетоводство', 'вождение', 'кролиководческий', 'водонаполненный', 'ввод', 'разводящий', 'обводка', 'чаевод', 'многоводный', 'свекловодство', 'разводной', 'свиноводство', 'пчеловодческий', 'маловодопроницаемый', 'коневодческий', 'обезвоженный', 'водоочиститель', 'кораблевождение', 'собаковод', 'заводной', 'сервопривод', 'коневодство', 'коневод', 'водосброс', 'водно-солевой', 'хмелеводческий', 'водопадный', 'сопроводительница', 'маслопровод', 'цитрусоводческий', 'сопровождение', 'цветоводство', 'вывоженный', 'ословодство', 'зверовод', 'лесоводческий', 'шелководство', 'растениеводство', 'водоизмещение', 'молниеотвод', 'заводиловка', 'водочерпалка', 'сопроводиловка', 'глубоководный', 'отводный', 'пульпопровод', 'хмелевод', 'воздуховод', 'домовод', 'хороводиться', 'водокачка', 'отводной', 'водокаптажный', 'водяночный', 'табаководческий', 'водопрочный', 'птицеводческий', 'каракулевод', 'заводила', 'рыбоводный', 'водобой', 'водоплавный', 'растениеводческий', 'своднический', 'теплопровод', 'вводный', 'водовозка', 'заводнение', 'водометный', 'вводить', 'гусевод', 'бензопровод', 'отводка', 'парниковод', 'водолечебный', 'семяпровод', 'приводить', 'козловодство', 'звукопроводность', 'экскурсоводческий', 'заводнить', 'волновод', 'оленеводство', 'водоскат', 'поводковый', 'обводнить', 'наводнение', 'доводчик', 'наводить', 'водополье', 'выводковый', 'товаропроводящий', 'вагоновожатый', 'водораздел', 'водоизмерительный', 'вожатый', 'водомерный', 'водоочистка', 'водогазонепроницаемый', 'водочерпальный', 'хлопководство', 'водогон', 'водолечение', 'пищевод', 'домоводство', 'газоотводный', 'мараловодческий', 'водоуказательный', 'автоподзавод', 'верховодка', 'мелководный', 'пчеловодство', 'желчевыводящий', 'водогазопроводный', 'подводница', 'животноводство', 'вождизм', 'переводина', 'графито-водный', 'водноэнергетический', 'сводный', 'водобойный', 'навоженный', 'земельно-водный', 'путеводный', 'растениевод', 'счетоводческий', 'водорегулирующий', 'водогазоемкий', 'автозаводской', 'пылепровод', 'препроводилка', 'электропроводящий', 'уводиться', 'водовместилище', 'хоровод', 'молочно-животноводческий', 'доводочный', 'льноводство', 'каракулеводство', 'бортпроводница', 'водогрязелечебница', 'водолив', 'водопроточный', 'световодолечение', 'водогрельня', 'голубеводство', 'обезвоживать', 'греховодник', 'наводняться', 'приводной', 'водоносный', 'сводничество', 'водяника', 'плодоводство', 'водолечебница', 'каучуководческий', 'сопроводитель', 'воднотранспортный', 'взводиться', 'водорастворимый', 'обводиться', 'водно-воздушный', 'приводняться', 'бортпроводник', 'непереводимый', 'выпроводить', 'водонагреватель', 'пищеводно-желудочный', 'сводничать', 'чаеводство', 'сопровождающий', 'водно-мелиоративный', 'луговодство', 'громоотвод', 'водительский', 'луговод', 'рыбоводство', 'водонепроницаемый', 'семеновод', 'водоподогреватель', 'трубопровод', 'полупроводниковый', 'обезвоживание', 'переводный', 'каучуководство', 'наводка', 'нутриеводство', 'сопровождать', 'ливнеотводящий', 'пароводонепроницаемый', 'водовозничать', 'сводница', 'подводить', 'овцеводство', 'вводиться', 'пароотводный', 'водосбросный', 'соболевод', 'картофелеводство', 'водопользование', 'двухпроводной', 'молокопровод', 'верховод', 'электросветоводолечение', 'водосливный', 'звукопроводящий', 'обезводить', 'водоток', 'водоподводящий', 'водо-водяной', 'обводчик', 'дымопровод', 'водиться', 'вожак', 'заводненный', 'птицеводство', 'письмоводитель', 'своженный', 'сосводничать', 'времяпровождение', 'пчеловод', 'льноводный', 'пульповод', 'водогрязелечение', 'вода', 'рыборазводня', 'заводить', 'водослив', 'возводить', 'водоотвод', 'водительство', 'отвод', 'танковождение', 'водоразборный', 'водоотливный', 'непроводимость', 'заводка', 'рыбовод', 'льновод', 'водостойкость', 'водоприемный', 'тутовод', 'судоводительский', 'водоотводный', 'лесоводство', 'цветоводческий', 'садовод', 'флотоводец', 'оленевод', 'выводиться', 'наводной', 'собаководство', 'водоноска', 'водолюбивый', 'водоустойчивый', 'тутоводческий', 'полуводяной', 'голубеводческий', 'водоскатный', 'маловодный', 'подводчик', 'шелковод', 'водоустройство', 'ореховодство', 'табаководство', 'разводный', 'табаковод', 'овощекартофелеводческий', 'водник', 'ословодческий', 'коноплеводство', 'обезвоживаться', 'верховодить', 'выпровоженный', 'поводок', 'судоводитель', 'водолазный', 'червоводня', 'водопроводно-канализационный', 'развод', 'водоохранный', 'тепловодоснабжение', 'водоочистительный', 'водитель', 'хлопковод', 'наводчица', 'куровод', 'гусеводство', 'радиопроводной', 'водокрас', 'животновод', 'скотоводческий', 'водоспуск', 'садоводство', 'водогрейка', 'воздухопровод', 'хлопководческий', 'воднолыжник', 'козовод', 'водопроводчик', 'водоопреснитель', 'наводчик', 'скотоводство', 'водить', 'препровождать', 'пчеловодный', 'групповод', 'обводнение', 'подводной', 'цитрусовод', 'приводниться', 'собаководческий', 'водоемный', 'сопровожденный', 'домоводка', 'наводненный', 'водно-спиртовой', 'сводчатый', 'захороводить', 'тяжеловодный', 'водонапорный', 'самолетовождение', 'садоводческий', 'сводчик', 'водосборник', 'полноводный', 'флотоводческий', 'электропровод', 'гидропривод', 'наводняемость', 'лесоводственный', 'бахчеводческий', 'препроводить', 'тутоводство', 'водянистый', 'оросительно-обводнительный', 'уводить', 'пылеводонепроницаемый', 'переводка', 'оргвыводы', 'водокольцевой', 'разводка', 'разводиться', 'водохранилище', 'полеводство', 'водоналивной', 'грязеводолечебница', 'водоемкий', 'обводной', 'коноплеводческий', 'водоносность', 'плодовод', 'воздухоотводящий', 'наводиться', 'водолей', 'водосвятие', 'электропроводка', 'нагреховодничать', 'пароподводящий', 'взводить', 'козоводство', 'возводиться', 'сверхпроводимость', 'доводить', 'водоподъемный', 'овцевод', 'дисковод', 'водообеспеченность', 'водоросль', 'заводнять', 'водомойный', 'водотрубный', 'водозабор', 'водомаслозаправщик', 'легководолаз', 'водянка', 'куроводческий', 'водомоина', 'взводной', 'осетроводство', 'водовыпускной', 'сверхпроводник', 'плотовод', 'кукурузовод', 'водохранилищный', 'путепровод', 'надводный', 'сверхпроводящий', 'водоотделитель', 'обводняться', 'водопользователь', 'свекловод', 'червовод', 'водоем', 'водопроводящий', 'льноводческий', 'обводнительный', 'переводчица', 'водосодержащий', 'шелководный', 'лесовод', 'приводнить', 'водопад', 'водопроницаемый', 'трубопроводостроительный', 'водозаборный', 'невывод', 'картофелевод', 'заводняться', 'водогрейня', 'чаеводческий', 'верблюдоводство', 'рыбоводческий', 'извоженный', 'коноплевод', 'грязеводолечебный', 'подводно-минный', 'водоподготовка', 'поводырь', 'водобоязнь', 'соболеводческий', 'водоканал', 'наводнять', 'тепловодоэлектроизоляция', 'световод', 'водоудерживающий', 'сопровождаться', 'счетовод', 'оленеводческий', 'воздухоотводчик', 'обводить', 'водозащитный', 'водский', 'водоотталкивающий', 'подводка', 'радиоволновод', 'дымоотвод', 'переводиться', 'водолаз', 'водопровод', 'водоснабжение', 'водомет', 'семеноводческий', 'наводящий', 'бракоразводный', 'водоохлаждение', 'водомерка', 'бахчевод', 'водопроводный', 'водонагревательный', 'хороводница', 'автоводитель', 'водовоздушный', 'верблюдоводческий', 'водоупорный', 'животноводческий', 'кукловод', 'заводиться', 'греховодница', 'сводник', 'плодоовощевод', 'выводить', 'полеводческий', 'переводческий', 'водоизмеритель', 'тиховодный', 'газопровод', 'хороводить', 'магнитопровод', 'малотеплопроводный', 'трубопроводный', 'водоотдача', 'земноводный', 'приводнять', 'водоподъемник', 'низводить', 'самоотвод', 'водолазка', 'водоосвящение', 'водочерпательный', 'газопроводный', 'паводковый', 'звеньевод', 'водомер', 'инкубаторно-птицеводческий', 'времяпрепровождение', 'продуктопровод', 'плодоводческий', 'перевод', 'водолюб', 'огнепроводный', 'препровожденный', 'воденеть', 'водомелиоративный', 'водоподъем', 'зернопровод', 'безводный', 'водомалогрейка', 'рисоводство', 'паводок', 'наводнить', 'сводообразный', 'контрпривод', 'яйцевод', 'непроводник', 'сводка', 'небосвод', 'водонос', 'греховодничать']","['одописец', 'многоэлектродный', 'одический', 'электродный', 'трехэлектродный', 'электрод', 'безэлектродный', 'ода', 'микроэлектрод', 'диод', 'тетрод']"
ворс,0.94,0.07,варс,[],ворс:ROOT,"['форс', 'вор', 'морс', 'торс']","['ворсильня', 'ворсовой', 'ворсильный', 'ворсистый', 'ворсит', 'ворсовый', 'ворситься', 'ворсянка', 'ворсовальный', 'ворсинчатый', 'наворсовать', 'ворсяной', 'ворсованный', 'ворсильщик', 'ворсовальня', 'ворсование', 'наворсить', 'ворсовать', 'ворсовка', 'ворсянковые', 'ворс', 'ворсить', 'ворсинка', 'ворсина', 'наворсованный', 'ворсоваться']",[]
втык,0.21758587409627805,0.09,фтак,[],в:PREF/тык:ROOT,['стык'],"['натыканный', 'подстыковать', 'затыкаться', 'расстыковаться', 'подстыковывать', 'расстыковка', 'утыканный', 'подстыковываться', 'затыкание', 'стыковаться', 'стыкать', 'потыкаться', 'состыковать', 'истыкаться', 'тычинковый', 'перестыковать', 'притыкать', 'нестыкуемый', 'протыкать', 'тычина', 'отстыковаться', 'стыковочный', 'тычинник', 'подстыковка', 'стычка', 'затычка', 'тычиночный', 'натыкать', 'подтыкать', 'потыкать', 'протыкаться', 'притыкаться', 'пристыковаться', 'стык', 'обтыкаться', 'стыковать', 'состыковаться', 'втыкать', 'контактно-стыковой', 'втычка', 'натыкаться', 'растыкать', 'истыкиваться', 'истыканный', 'бесстыковой', 'подстыковаться', 'стычный', 'оттыкаться', 'стыковка', 'стыкаться', 'втыкание', 'стыкосварочный', 'пристыковать', 'утыкать', 'тычущий', 'тычущийся', 'стыкование', 'тыкнуть', 'тычинка', 'обтыканный', 'отстыковать', 'втык', 'истыкивать', 'впритычку', 'подтыкаться', 'тычок', 'утыкаться', 'расстыковать', 'перестыковка', 'обтыкать', 'тычком', 'состыковка', 'истыкать', 'растыканный', 'растыкаться', 'стыковой', 'втыкаться', 'оттыкать', 'затыкать', 'перестыковаться', 'зуботычина', 'притычка']",['тыканье']
вьюк,3.13,0.14,фук,['фук'],вьюк:ROOT,['вьюн'],"['завьючить', 'перевьючиваться', 'вьючиться', 'навьючиться', 'вьючение', 'завьючивать', 'завьюченный', 'навьючивать', 'развьючиваться', 'вьючный', 'навьючиваться', 'развьючить', 'развьючивать', 'вьючить', 'вьючно-транспортный', 'навьюченный', 'навьючить', 'перевьюченный', 'перевьючить', 'вьюк', 'развьюченный', 'перевьючивать', 'развьючиться']",[]
вьючный,2.39,0.26,фучнай,[],вьюч:ROOT/н:SUFF/ый:END,"['тючный', 'вьюжный', 'брючный', 'урючный', 'вьюшечный', 'вечный']","['завьючить', 'перевьючиваться', 'вьючиться', 'навьючиться', 'вьючение', 'завьючивать', 'завьюченный', 'навьючивать', 'развьючиваться', 'вьючный', 'навьючиваться', 'развьючить', 'развьючивать', 'вьючить', 'вьючно-транспортный', 'навьюченный', 'навьючить', 'перевьюченный', 'перевьючить', 'вьюк', 'развьюченный', 'перевьючивать', 'развьючиться']",[]
галс,0.87,0.11,галс,[],галс:ROOT,[],['галс'],[]
генезис,2.1509917839232,0.13,гинизис,[],генез:ROOT/ис:SUFF,"['бенефис', 'генетик']","['сперматогенез', 'психогенезис', 'генезис', 'психогенез', 'парагенезис']",[]
гимнастёрка,8.68167637644148,0.24,гимнастирка,['гимнастерка'],гимнастёр:ROOT/к:SUFF/а:END,"['гимнастерка', 'гимнастка', 'гимнастика']",[],"['лечебно-гимнастический', 'гимнастический', 'гимнастка', 'гимнастика', 'гимн', 'спортивно-гимнастический', 'гимнаст']"
гиюр,0.071492501488777,0.12,гиур,[],гиюр:ROOT,['гипюр'],[],[]
голенище,4.72,0.15,галинищи,[],голен:ROOT/ищ:SUFF/е:END,"['золение', 'голосище', 'гонение', 'глинище', 'моление', 'горение', 'соление', 'оголение']","['голеностопный', 'голенастый', 'голенище']","['голытьба', 'оголяться', 'гололед', 'заголенный', 'голопузый', 'гололедица', 'полуголый', 'голышка', 'голец', 'голядь', 'оголенный', 'голарктический', 'оголять', 'голоштанник', 'оголиться', 'наголо', 'голосеменные', 'гололедь', 'голожаберный', 'голизна', 'голословный', 'голоштанный', 'голобрюхий', 'горельеф', 'голышом', 'оголение', 'голодранец', 'наголенный', 'голый', 'голодранка', 'голошеий', 'голоногий', 'заголяться', 'голенький', 'горельефный', 'гологлаз', 'гол', 'голыш', 'заголить', 'заголять', 'заголиться', 'догола', 'оголеть', 'голяк', 'оголить']"
